"Date",	"Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
19/11/2010	,0.00189913274924842,-0.00140039116017144,0.0047273219126852,0.0114625920531302,-0.00168900080569766,0.000402392899773618
22/11/2010	,-0.0147043303964829,0.00664823621982822,-0.00369508525661625,0.00735861562035319,0.00720405831687888,0.000402751594282824
23/11/2010	,-0.0220203533543931,-0.00223656285021323,0.00565488310142075,0.00080881126538853,0.00696356472431609,0.00040311025651385
24/11/2010	,0.0196853419873861,-0.00521674787365577,0.00337616651315729,-0.0098440570901332,-0.00152660703225156,0.00040311025651385
25/11/2010	,-0.00481207382500808,0.00856020480097787,-0.00233772231554346,0.00332509921837309,0.00425233100276613,0.000403468886472247
26/11/2010	,-0.012097921894856,0.00499491288865558,0.00173112569456281,0.00648873729626397,0.00872097680447652,0.000405619988829597
29/11/2010	,-0.00395678167811224,-0.00663724727321659,-0.000332636789216764,-0.000637241393573037,-0.000595727853707554,0.00040454458277206
30/11/2010	,-0.00577371766406554,0.0106881555166828,0.00640939830277614,-0.000392941902092992,0.000554689986568173,0.000403827484164232
01/12/2010	,0.0218889994813378,-0.018850769637225,-0.000546215763925679,-0.0028941930523481,-0.0107903503545458,0.000405978393044348
02/12/2010	,0.00285683729553647,0.00690541196322617,-0.00180627717330685,-0.0072231463687642,0.00328942330631779,0.000408486320548684
03/12/2010	,0.000492062387116742,0.00332308264732986,0.0259987172099884,-0.00529791361718552,-2.7439020835531e-05,0.00040311025651385
06/12/2010	,-0.004039725199075,0.00381592815137327,-0.0103095624492997,0.00177276663582249,0.00273503202008592,0.000404186049595578
07/12/2010	,-0.0050892088010136,0.0119271113343715,0.00263545563005951,-0.00360810655629983,0.00498468007276676,0.000404186049595578
08/12/2010	,-0.0109790620995773,0.00031070066212366,0.00271594286222782,0.00701412882935787,0.0121316419854051,0.000405619988829597
09/12/2010	,-0.00376947873381652,-0.00977396435774933,0.00194460121233535,-0.00995261339833357,-0.00317603248887219,0.000402392899773618
10/12/2010	,0.00594322981713911,-0.00359216499716539,0.00438461891710274,-0.00745698633329047,0.00233364119415632,0.000402751594282824
13/12/2010	,0.00912002572993613,-0.00568825084262169,-0.00143974671973512,-0.00222269565965208,-0.00412652128829082,0.000402751594282824
14/12/2010	,-0.00245307748339354,0.0114938339876543,-2.8637860926116e-05,0.00423990074276999,0.00504228438335382,0.000402751594282824
15/12/2010	,-0.00912573399216254,-0.00291468108721313,0.00747000554958317,-0.00298148618907132,0.00384358343668197,0.00040311025651385
16/12/2010	,-0.00580904347297617,-0.00494155001000983,0.00298167047455869,0.0028618888916783,-0.00334915537823084,0.00040311025651385
17/12/2010	,0.00839238406389565,-7.51941998421678e-06,0.00215031534124448,0.00472125542045768,-0.00274645801279951,0.000403468886472247
20/12/2010	,-0.00921831509341107,0.00924953381853105,5.83944465009189e-05,-0.00251351357395354,0.0144674083764775,0.000403827484164232
21/12/2010	,0.0129188967861417,-0.0146344552142167,-0.0134822245517933,-0.0107113592784342,-0.0118318483959559,0.00040454458277206
22/12/2010	,0.00358476344495198,-0.0131761891334205,-0.000282712194289525,-0.00259058298854252,-0.00648902708577236,0.000405261552383074
23/12/2010	,0.000442656783255965,0.00751304122215148,0.00287818573635491,0.00702900775138435,0.00708264319293682,0.000405261552383074
27/12/2010	,-0.00787143780532217,0.00845989209144055,0.00413913268909002,-0.000339590730286226,0.00700914358682436,0.000405619988829597
28/12/2010	,0.00210818056735273,-0.00755028135638125,0.00177850501344292,0.00153064646599682,-0.00556074240162169,0.000405261552383074
29/12/2010	,0.010508852406401,-0.00425170910849944,-0.0090761685979377,0.00317227317990309,-0.00605356345360118,0.000406336765033322
30/12/2010	,0.00629659453691613,0.00449853773959993,-0.00375533121883133,0.00251128419279448,0.0020066338708283,0.000405978393044348
03/01/2011	,0.00776383613739024,-0.0127038411740901,-0.0058368011962118,-0.00638239779473984,-0.00941195470381144,0.00040812814179314
04/01/2011	,0.00443265183680025,-0.00492027951547463,0.00920895561363759,-0.00550083480957822,-0.00316528406043706,0.000408844467119085
05/01/2011	,0.00890921125886496,-0.00668741944498597,0.0108048604265609,-0.00120046358081945,-0.0083343402344706,0.000409918713776491
06/01/2011	,-0.00823669354812861,0.00415928432196591,-0.00087929619484102,-0.00327244059340296,0.00323448005711633,0.000410634717394887
07/01/2011	,-0.0101811007007035,0.00120998987046248,-0.00222356829702085,0.00628222077828064,0.00202669361348072,0.000411350592411042
10/01/2011	,0.00328265309873015,-0.00324703868914212,-0.00412984310365192,-0.00374374585663844,0.00189679437979401,0.000412424163907632
11/01/2011	,0.00407100086375247,-0.0073568669517401,-0.00678962019549168,0.000403004638285133,-0.00285956975420763,0.000412781956822261
12/01/2011	,0.0132979282052508,0.00199988697993829,0.00991254722302208,-0.00258493494187791,-0.000666238190260919,0.000414212807380521
13/01/2011	,-0.011969487893941,-0.000480573587234533,0.00981476215567524,0.00275340507404004,0.00441932406488791,0.000415285608305505
14/01/2011	,0.00285864715891053,0.00631064444177605,0.00499018302398366,0.000892975738274182,0.00537930989121859,0.00041635812055163
17/01/2011	,-0.00265154892980462,0.00558762288244043,0.00246419169626704,0.00411780549936885,0.00577060569352634,0.000417787688093085
18/01/2011	,-3.55428344178984e-05,0.00612925454293434,0.000214492630887526,-0.00441459419156129,-0.000823322081917437,0.000418144999876136
19/01/2011	,-0.010938444063934,-0.00346331844480001,0.00122608703915139,-0.000155837619294276,6.78010234320507e-05,0.000419573926773387
20/01/2011	,-0.00747233559377165,0.00782384904463358,-0.00299796117765657,-0.0086601324330481,0.00257645803795184,0.000419216743072992
21/01/2011	,-0.00658605409219539,0.00267281767268903,0.00808827488490767,-0.00818149488176857,0.00531962050425552,0.000419216743072992
